City_ID,City,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date(of Weather Data)
0,khatanga,71.97,102.5,3.58,93,100,10.85,RU,04/01/2020
1,rondonopolis,-16.47,-54.64,74.84,73,2,1.88,BR,04/01/2020
2,noumea,-22.28,166.46,84.2,62,20,17.22,NC,04/01/2020
3,punta arenas,-53.15,-70.92,48.2,76,75,14.99,CL,04/01/2020
4,rikitea,-23.12,-134.97,79.29,71,100,6.04,PF,04/01/2020
5,puerto ayora,-0.74,-90.35,78.01,80,15,1.01,EC,04/01/2020
6,kavieng,-2.57,150.8,83.7,78,94,13.96,PG,04/01/2020
7,vaini,-21.2,-175.2,84.2,74,20,8.05,TO,04/01/2020
8,portland,45.52,-122.68,46.4,61,75,11.41,US,04/01/2020
9,hamilton,39.18,-84.53,43,87,90,3.36,US,04/01/2020
10,shahr-e babak,30.12,55.12,48.94,31,0,0.76,IR,04/01/2020
11,cidreira,-30.18,-50.21,72.12,87,71,15.3,BR,04/01/2020
12,vendome,47.8,1.07,37.4,74,0,9.17,FR,04/01/2020
13,yellowknife,62.46,-114.35,3.2,41,20,8.05,CA,04/01/2020
14,bengkulu,-3.8,102.27,84.51,65,100,3.06,ID,04/01/2020
15,mugur-aksy,50.35,90.5,23.09,45,0,5.19,RU,04/01/2020
16,champerico,14.3,-91.92,81.03,74,2,8.99,GT,04/01/2020
17,hilo,19.73,-155.09,73.4,83,90,4.7,US,04/01/2020
18,cherskiy,68.75,161.3,9.81,91,7,9.22,RU,04/01/2020
19,ushuaia,-54.8,-68.3,46.4,75,40,6.93,AR,04/01/2020
20,longyearbyen,78.22,15.64,-5.8,83,20,6.93,SJ,04/01/2020
21,mulege,26.88,-111.98,70.56,40,100,2.44,MX,04/01/2020
22,ambilobe,-13.2,49.05,75.11,90,76,2.46,MG,04/01/2020
23,jacareacanga,-6.22,-57.75,74.8,93,100,1.3,BR,04/01/2020
24,maarianhamina,60.1,19.93,37.4,59,55,12.75,AX,04/01/2020
25,mahebourg,-20.41,57.7,82,94,40,6.96,MU,04/01/2020
26,high level,58.52,-117.14,6.8,60,79,11.41,CA,04/01/2020
27,east london,-33.02,27.91,60.8,93,75,14.99,ZA,04/01/2020
28,kodiak,57.79,-152.41,37.4,51,90,9.17,US,04/01/2020
29,albany,42.6,-73.97,39.2,51,20,4.7,US,04/01/2020
30,zeya,53.75,127.27,34.38,77,87,5.95,RU,04/01/2020
31,mujiayingzi,42.12,118.78,45.01,29,0,10.78,CN,04/01/2020
32,lorengau,-2.02,147.27,83.25,80,98,11.95,PG,04/01/2020
33,santa cruz,-17.8,-63.17,75.2,94,96,4.7,BO,04/01/2020
34,clyde river,70.47,-68.59,-0.4,70,75,9.17,CA,04/01/2020
35,mataura,-46.19,168.86,64,63,10,5.01,NZ,04/01/2020
36,arraial do cabo,-22.97,-42.03,75.2,94,40,3.36,BR,04/01/2020
37,jamestown,42.1,-79.24,42.8,93,90,5.82,US,04/01/2020
38,tura,25.52,90.22,86.95,16,0,3.18,IN,04/01/2020
39,luau,-10.71,22.22,65.07,65,96,2.53,AO,04/01/2020
40,nizhniy odes,63.64,54.86,14.16,93,5,3.85,RU,04/01/2020
41,lebu,-37.62,-73.65,55.33,77,2,16.98,CL,04/01/2020
42,coihaique,-45.58,-72.07,44.6,81,40,2.24,CL,04/01/2020
43,hithadhoo,-0.6,73.08,83.3,66,93,9.15,MV,04/01/2020
44,zhenlai,45.85,123.3,53.15,34,0,14.43,CN,04/01/2020
45,saint-philippe,-21.36,55.77,79,73,75,9.17,RE,04/01/2020
46,yar-sale,66.83,70.83,4.96,92,6,3.42,RU,04/01/2020
47,kapaa,22.08,-159.32,78.8,73,75,14.99,US,04/01/2020
48,sao gabriel da cachoeira,-0.13,-67.09,74.32,95,100,0.49,BR,04/01/2020
49,norman wells,65.28,-126.83,17.6,34,5,14.99,CA,04/01/2020
50,chifeng,42.27,118.96,47.07,29,0,12.53,CN,04/01/2020
51,varkkallai,8.73,76.71,86,70,20,5.82,IN,04/01/2020
52,cape town,-33.93,18.42,63,67,20,19.46,ZA,04/01/2020
53,kavaratti,10.57,72.64,86,74,20,4.7,IN,04/01/2020
54,hermanus,-34.42,19.23,60.31,81,6,12.12,ZA,04/01/2020
55,butaritari,3.07,172.79,84.13,76,94,17.65,KI,04/01/2020
56,tuatapere,-46.13,167.68,64,63,0,5.01,NZ,04/01/2020
57,udachnyy,66.42,112.4,5,71,42,11.18,RU,04/01/2020
58,ribeira grande,38.52,-28.7,56.7,69,100,29.28,PT,04/01/2020
59,homer,59.64,-151.55,37.4,51,40,6.93,US,04/01/2020
60,jiaohe,43.73,127.34,45.99,40,0,8.95,CN,04/01/2020
61,ca mau,9.18,105.15,91.85,46,96,7.83,VN,04/01/2020
62,san patricio,19.22,-104.7,75.58,71,15,7.63,MX,04/01/2020
63,saskylakh,71.92,114.08,-7.33,88,46,12.48,RU,04/01/2020
64,dikson,73.51,80.55,-2.38,93,100,5.66,RU,04/01/2020
65,morondava,-20.28,44.28,74.7,79,0,3.94,MG,04/01/2020
66,nome,64.5,-165.41,25,92,90,9.17,US,04/01/2020
67,nanortalik,60.14,-45.24,33.04,85,86,13.24,GL,04/01/2020
68,kumluca,36.37,30.29,56.32,64,45,5.19,TR,04/01/2020
69,waitara,-38.92,174.25,71.01,54,96,5.99,NZ,04/01/2020
70,faya,18.39,42.45,60.8,63,5,10.29,SA,04/01/2020
71,busselton,-33.65,115.33,78.01,35,100,2.48,AU,04/01/2020
72,chuy,-33.7,-53.46,68.22,75,56,13.18,UY,04/01/2020
73,pevek,69.7,170.31,5,90,84,0.81,RU,04/01/2020
74,atuona,-9.8,-139.03,82,80,1,13.6,PF,04/01/2020
75,narsaq,60.92,-46.05,30.2,68,20,3.36,GL,04/01/2020
76,gaoual,11.75,-13.2,75.38,60,43,2.08,GN,04/01/2020
77,peniche,39.36,-9.38,46,93,20,10.76,PT,04/01/2020
78,mackay,-21.15,149.2,84.99,65,42,14.99,AU,04/01/2020
79,souillac,-20.52,57.52,82,94,40,5.53,MU,04/01/2020
80,mogadishu,2.04,45.34,84.2,70,75,11.41,SO,04/01/2020
81,basoko,1.24,23.62,71.46,87,100,1.95,CD,04/01/2020
82,rio grande,-32.03,-52.1,69.89,84,67,18.59,BR,04/01/2020
83,acajutla,13.59,-89.83,71.01,96,0,1.99,SV,04/01/2020
84,ilulissat,69.22,-51.1,3.2,71,100,16.11,GL,04/01/2020
85,hobart,-42.88,147.33,70,48,75,11.41,AU,04/01/2020
86,constitucion,-35.33,-72.42,56.93,69,2,11.39,CL,04/01/2020
87,sakakah,29.97,40.21,62.6,21,5,6.93,SA,04/01/2020
88,katete,-0.78,29.75,63.66,58,75,4.09,UG,04/01/2020
89,mar del plata,-38,-57.56,66,68,90,10.29,AR,04/01/2020
90,csokmo,47.03,21.3,27,73,0,5.82,HU,04/01/2020
91,thompson,55.74,-97.86,10.4,78,75,13.87,CA,04/01/2020
92,guerrero negro,27.98,-114.06,66.94,52,100,12.28,MX,04/01/2020
